Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,PSH,PSD,PSA,PSCH,PSCD,PSCA,AvgH,AvgD,AvgA,AvgCH,AvgCD,AvgCA,P>2.5,P<2.5,PC>2.5,PC<2.5,Avg>2.5,Avg<2.5,AvgC>2.5,AvgC<2.5,AHh,AHCh,PAHH,PAHA,PCAHH,PCAHA
D1,24/08/2018,Bayern Munich,Hoffenheim,3,1,16,8,5,5,1.2,7.86,14.9,1.23,7.15,14.1,,,,,,,,,,,,,,,,,,,,
D1,25/08/2018,Fortuna Dusseldorf,Augsburg,1,2,9,14,5,7,2.51,3.32,3.06,2.74,3.33,2.78,,,,,,,,,,,,,,,,,,,,
D1,25/08/2018,Freiburg,Ein Frankfurt,0,2,22,10,6,2,2.34,3.4,3.28,2.52,3.3,3.07,,,,,,,,,,,,,,,,,,,,
D1,25/08/2018,Hertha,Nurnberg,1,0,10,12,3,3,2.05,3.43,4.06,1.79,3.61,5.21,,,,,,,,,,,,,,,,,,,,
D1,25/08/2018,M'gladbach,Leverkusen,2,0,17,13,7,3,2.89,3.69,2.47,2.63,3.7,2.69,,,,,,,,,,,,,,,,,,,,
D1,25/08/2018,Werder Bremen,Hannover,1,1,15,13,3,4,1.93,3.79,4.1,1.74,4.21,4.71,,,,,,,,,,,,,,,,,,,,
D1,25/08/2018,Wolfsburg,Schalke 04,2,1,11,9,7,4,3.36,3.25,2.37,3.23,3.2,2.48,,,,,,,,,,,,,,,,,,,,
D1,26/08/2018,Dortmund,RB Leipzig,4,1,10,10,5,7,1.79,4.05,4.57,1.74,4.11,4.77,,,,,,,,,,,,,,,,,,,,
D1,26/08/2018,Mainz,Stuttgart,1,0,8,12,3,3,2.92,3.22,2.67,2.93,3.28,2.63,,,,,,,,,,,,,,,,,,,,
D1,31/08/2018,Hannover,Dortmund,0,0,7,8,0,3,5.44,4.25,1.65,5.25,4.16,1.68,,,,,,,,,,,,,,,,,,,,
D1,01/09/2018,Augsburg,M'gladbach,1,1,18,7,7,2,2.64,3.41,2.83,2.65,3.52,2.75,,,,,,,,,,,,,,,,,,,,
D1,01/09/2018,Ein Frankfurt,Werder Bremen,1,2,5,11,1,6,2.47,3.47,2.97,2.42,3.53,3.03,,,,,,,,,,,,,,,,,,,,
D1,01/09/2018,Hoffenheim,Freiburg,3,1,20,9,7,4,1.6,4.19,6.14,1.52,4.59,6.6,,,,,,,,,,,,,,,,,,,,
D1,01/09/2018,Leverkusen,Wolfsburg,1,3,16,12,3,5,1.64,4.27,5.47,1.67,3.9,5.86,,,,,,,,,,,,,,,,,,,,
D1,01/09/2018,Nurnberg,Mainz,1,1,19,6,4,1,2.37,3.23,3.39,2.72,3.36,2.77,,,,,,,,,,,,,,,,,,,,
D1,01/09/2018,Stuttgart,Bayern Munich,0,3,4,20,0,6,10.3,5.96,1.31,11.83,6.06,1.29,,,,,,,,,,,,,,,,,,,,
D1,02/09/2018,RB Leipzig,Fortuna Dusseldorf,1,1,23,14,7,8,1.41,4.92,8.87,1.34,5.69,9.56,,,,,,,,,,,,,,,,,,,,
D1,02/09/2018,Schalke 04,Hertha,0,2,16,5,4,3,1.79,3.53,5.53,1.69,3.65,6.2,,,,,,,,,,,,,,,,,,,,
D1,14/09/2018,Dortmund,Ein Frankfurt,3,1,10,5,6,2,1.44,4.77,8.02,1.48,4.74,6.97,,,,,,,,,,,,,,,,,,,,
D1,15/09/2018,Bayern Munich,Leverkusen,3,1,18,3,5,1,1.23,6.86,13.74,1.17,8.8,15.59,,,,,,,,,,,,,,,,,,,,
D1,15/09/2018,Fortuna Dusseldorf,Hoffenheim,2,1,8,18,4,5,4.06,3.92,1.89,4.18,4.18,1.81,,,,,,,,,,,,,,,,,,,,
D1,15/09/2018,Mainz,Augsburg,2,1,22,13,7,4,2.73,3.2,2.85,2.76,3.44,2.66,,,,,,,,,,,,,,,,,,,,
D1,15/09/2018,M'gladbach,Schalke 04,2,1,15,15,4,6,2.51,3.34,3.05,2.85,3.54,2.52,,,,,,,,,,,,,,,,,,,,
D1,15/09/2018,RB Leipzig,Hannover,3,2,15,16,6,8,1.56,4.42,6.17,1.51,4.59,6.68,,,,,,,,,,,,,,,,,,,,
D1,15/09/2018,Wolfsburg,Hertha,2,2,15,9,6,5,2.12,3.22,4.05,2.18,3.28,3.76,,,,,,,,,,,,,,,,,,,,
D1,16/09/2018,Freiburg,Stuttgart,3,3,12,11,5,6,2.76,3.17,2.87,2.79,3.22,2.77,,,,,,,,,,,,,,,,,,,,
D1,16/09/2018,Werder Bremen,Nurnberg,1,1,14,11,2,2,1.68,4.05,5.39,1.61,4.3,5.71,,,,,,,,,,,,,,,,,,,,
D1,21/09/2018,Stuttgart,Fortuna Dusseldorf,0,0,10,19,1,7,1.78,3.84,4.81,1.72,3.89,5.19,,,,,,,,,,,,,,,,,,,,
D1,22/09/2018,Augsburg,Werder Bremen,2,3,21,12,7,7,2.53,3.48,2.89,2.89,3.48,2.53,,,,,,,,,,,,,,,,,,,,
D1,22/09/2018,Hertha,M'gladbach,4,2,16,17,7,4,2.51,3.39,2.97,2.9,3.34,2.6,,,,,,,,,,,,,,,,,,,,
D1,22/09/2018,Hoffenheim,Dortmund,1,1,17,8,5,2,2.72,3.73,2.54,2.58,3.74,2.67,,,,,,,,,,,,,,,,,,,,
D1,22/09/2018,Nurnberg,Hannover,2,0,14,9,6,3,2.48,3.37,3.03,2.52,3.47,2.9,,,,,,,,,,,,,,,,,,,,
D1,22/09/2018,Schalke 04,Bayern Munich,0,2,10,14,2,7,8.56,4.94,1.41,8.99,5.31,1.37,,,,,,,,,,,,,,,,,,,,
D1,22/09/2018,Wolfsburg,Freiburg,1,3,17,12,9,8,1.75,3.73,5.26,1.85,3.49,4.9,,,,,,,,,,,,,,,,,,,,
D1,23/09/2018,Ein Frankfurt,RB Leipzig,1,1,8,9,5,2,3.14,3.56,2.32,3.06,3.67,2.35,,,,,,,,,,,,,,,,,,,,
D1,23/09/2018,Leverkusen,Mainz,1,0,18,12,5,5,1.6,4.17,6.11,1.58,4.27,6.08,,,,,,,,,,,,,,,,,,,,
D1,25/09/2018,Bayern Munich,Augsburg,1,1,16,12,8,4,1.12,10.15,24.78,1.12,10.33,25.21,,,,,,,,,,,,,,,,,,,,
D1,25/09/2018,Freiburg,Schalke 04,1,0,15,15,4,3,3.55,3.2,2.32,3.24,3.34,2.4,,,,,,,,,,,,,,,,,,,,
D1,25/09/2018,Hannover,Hoffenheim,1,3,17,17,8,9,3.57,3.97,2.02,3.21,3.75,2.24,,,,,,,,,,,,,,,,,,,,
D1,25/09/2018,Werder Bremen,Hertha,3,1,14,12,6,2,2.12,3.5,3.74,2.03,3.62,3.88,,,,,,,,,,,,,,,,,,,,
D1,26/09/2018,Dortmund,Nurnberg,7,0,19,4,10,1,1.31,5.59,11.6,1.42,4.82,8.17,,,,,,,,,,,,,,,,,,,,
D1,26/09/2018,Fortuna Dusseldorf,Leverkusen,1,2,16,6,4,3,4.04,3.87,1.91,4.02,3.72,1.96,,,,,,,,,,,,,,,,,,,,
D1,26/09/2018,Mainz,Wolfsburg,0,0,11,12,2,4,2.61,3.26,2.95,2.54,3.39,2.98,,,,,,,,,,,,,,,,,,,,
D1,26/09/2018,M'gladbach,Ein Frankfurt,3,1,21,12,9,2,1.77,3.86,4.86,1.96,3.78,3.96,,,,,,,,,,,,,,,,,,,,
D1,26/09/2018,RB Leipzig,Stuttgart,2,0,18,9,8,0,1.71,4.19,4.82,1.58,4.29,6.12,,,,,,,,,,,,,,,,,,,,
D1,28/09/2018,Hertha,Bayern Munich,2,0,6,25,4,5,10.39,6.05,1.29,12.43,6.47,1.25,,,,,,,,,,,,,,,,,,,,
D1,29/09/2018,Hoffenheim,RB Leipzig,1,2,13,18,6,7,2.05,4.02,3.46,2.27,3.89,3.05,,,,,,,,,,,,,,,,,,,,
D1,29/09/2018,Leverkusen,Dortmund,2,4,14,16,6,10,2.86,3.62,2.51,2.59,3.55,2.8,,,,,,,,,,,,,,,,,,,,
D1,29/09/2018,Nurnberg,Fortuna Dusseldorf,3,0,10,13,6,4,2.11,3.55,3.7,2.18,3.57,3.48,,,,,,,,,,,,,,,,,,,,
D1,29/09/2018,Schalke 04,Mainz,1,0,15,15,2,5,1.67,3.79,6.01,1.61,4.01,6.31,,,,,,,,,,,,,,,,,,,,
D1,29/09/2018,Stuttgart,Werder Bremen,2,1,18,14,5,3,2.76,3.4,2.72,2.91,3.43,2.57,,,,,,,,,,,,,,,,,,,,
D1,29/09/2018,Wolfsburg,M'gladbach,2,2,13,10,3,3,2.4,3.49,3.11,2.35,3.56,3.14,,,,,,,,,,,,,,,,,,,,
D1,30/09/2018,Augsburg,Freiburg,4,1,21,13,10,6,1.92,3.47,4.62,1.92,3.77,4.17,,,,,,,,,,,,,,,,,,,,
D1,30/09/2018,Ein Frankfurt,Hannover,4,1,15,4,7,1,2.02,3.59,3.96,2.03,3.66,3.85,,,,,,,,,,,,,,,,,,,,
D1,05/10/2018,Werder Bremen,Wolfsburg,2,0,15,10,5,4,2,3.68,3.93,2.08,3.6,3.74,,,,,,,,,,,,,,,,,,,,
D1,06/10/2018,Bayern Munich,M'gladbach,0,3,14,7,3,3,1.2,7.61,14.6,1.17,8.41,17.01,,,,,,,,,,,,,,,,,,,,
D1,06/10/2018,Dortmund,Augsburg,4,3,20,12,8,6,1.48,4.72,7.01,1.56,4.34,6.31,,,,,,,,,,,,,,,,,,,,
D1,06/10/2018,Fortuna Dusseldorf,Schalke 04,0,2,9,15,3,5,3.57,3.53,2.17,3.89,3.54,2.06,,,,,,,,,,,,,,,,,,,,
D1,06/10/2018,Hannover,Stuttgart,3,1,15,11,6,5,2.48,3.43,3.02,2.51,3.46,2.97,,,,,,,,,,,,,,,,,,,,
D1,06/10/2018,Mainz,Hertha,0,0,23,11,3,1,2.84,3.35,2.68,2.69,3.46,2.75,,,,,,,,,,,,,,,,,,,,
D1,07/10/2018,Freiburg,Leverkusen,0,0,7,14,1,0,3.4,3.6,2.2,3.53,3.64,2.14,,,,,,,,,,,,,,,,,,,,
D1,07/10/2018,Hoffenheim,Ein Frankfurt,1,2,20,6,4,4,1.76,4.16,4.53,1.69,4.29,4.87,,,,,,,,,,,,,,,,,,,,
D1,07/10/2018,RB Leipzig,Nurnberg,6,0,18,3,8,0,1.44,4.9,7.38,1.38,5.26,8.37,,,,,,,,,,,,,,,,,,,,
D1,19/10/2018,Ein Frankfurt,Fortuna Dusseldorf,7,1,21,10,13,5,1.65,4.09,5.64,1.81,3.6,5.05,,,,,,,,,,,,,,,,,,,,
D1,20/10/2018,Augsburg,RB Leipzig,0,0,6,15,0,3,3.1,3.65,2.33,2.98,3.79,2.35,,,,,,,,,,,,,,,,,,,,
D1,20/10/2018,Leverkusen,Hannover,2,2,19,9,7,7,1.56,4.43,6.08,1.54,4.37,6.59,,,,,,,,,,,,,,,,,,,,
D1,20/10/2018,Nurnberg,Hoffenheim,1,3,7,20,2,12,3.98,4.07,1.88,4.34,4.38,1.76,,,,,,,,,,,,,,,,,,,,
D1,20/10/2018,Schalke 04,Werder Bremen,0,2,14,8,4,3,2.1,3.51,3.79,2.14,3.53,3.64,,,,,,,,,,,,,,,,,,,,
D1,20/10/2018,Stuttgart,Dortmund,0,4,13,12,5,4,4.29,3.9,1.86,4.27,4.08,1.82,,,,,,,,,,,,,,,,,,,,
D1,20/10/2018,Wolfsburg,Bayern Munich,1,3,8,13,1,11,8.92,5.33,1.36,9.91,5.77,1.32,,,,,,,,,,,,,,,,,,,,
D1,21/10/2018,Hertha,Freiburg,1,1,13,8,5,3,1.86,3.59,4.74,1.93,3.52,4.47,,,,,,,,,,,,,,,,,,,,
D1,21/10/2018,M'gladbach,Mainz,4,0,16,13,8,4,1.63,4.4,5.32,1.58,4.53,5.59,,,,,,,,,,,,,,,,,,,,
D1,26/10/2018,Freiburg,M'gladbach,3,1,13,11,7,2,3.62,3.66,2.1,3.54,3.63,2.14,,,,,,,,,,,,,,,,,,,,
D1,27/10/2018,Dortmund,Hertha,2,2,19,10,5,4,1.43,4.96,7.49,1.48,4.66,7.04,,,,,,,,,,,,,,,,,,,,
D1,27/10/2018,Fortuna Dusseldorf,Wolfsburg,0,3,8,18,1,6,3.18,3.52,2.34,3.23,3.52,2.31,,,,,,,,,,,,,,,,,,,,
D1,27/10/2018,Hannover,Augsburg,1,2,17,9,4,4,2.63,3.53,2.77,2.5,3.59,2.89,,,,,,,,,,,,,,,,,,,,
D1,27/10/2018,Hoffenheim,Stuttgart,4,0,22,6,10,0,1.59,4.57,5.51,1.52,4.78,6.14,,,,,,,,,,,,,,,,,,,,
D1,27/10/2018,Mainz,Bayern Munich,1,2,6,21,1,5,12.18,6.38,1.26,12.9,7.17,1.22,,,,,,,,,,,,,,,,,,,,
D1,28/10/2018,Nurnberg,Ein Frankfurt,1,1,10,10,3,2,3.46,3.57,2.19,4.17,3.73,1.93,,,,,,,,,,,,,,,,,,,,
D1,28/10/2018,RB Leipzig,Schalke 04,0,0,15,6,2,0,1.85,3.8,4.45,1.85,3.8,4.43,,,,,,,,,,,,,,,,,,,,
D1,28/10/2018,Werder Bremen,Leverkusen,2,6,14,17,6,10,2.3,3.7,3.13,2.53,3.74,2.76,,,,,,,,,,,,,,,,,,,,
D1,02/11/2018,Stuttgart,Ein Frankfurt,0,3,10,15,0,7,3.03,3.57,2.41,3.03,3.57,2.41,,,,,,,,,,,,,,,,,,,,
D1,03/11/2018,Augsburg,Nurnberg,2,2,17,13,4,5,1.61,4.2,5.85,1.64,4.12,5.7,,,,,,,,,,,,,,,,,,,,
D1,03/11/2018,Bayern Munich,Freiburg,1,1,24,10,6,1,1.1,10.87,29.23,1.12,9.92,26.41,,,,,,,,,,,,,,,,,,,,
D1,03/11/2018,Hertha,RB Leipzig,0,3,12,25,5,11,3.32,3.59,2.24,3.33,3.63,2.22,,,,,,,,,,,,,,,,,,,,
D1,03/11/2018,Leverkusen,Hoffenheim,1,4,21,10,9,4,2.23,3.9,3.12,2.17,3.94,3.22,,,,,,,,,,,,,,,,,,,,
D1,03/11/2018,Schalke 04,Hannover,3,1,16,20,6,6,1.67,3.88,5.84,1.7,3.62,6.07,,,,,,,,,,,,,,,,,,,,
D1,03/11/2018,Wolfsburg,Dortmund,0,1,13,12,3,1,3.85,3.84,1.97,3.47,3.64,2.16,,,,,,,,,,,,,,,,,,,,
D1,04/11/2018,Mainz,Werder Bremen,2,1,13,14,6,4,3.04,3.5,2.44,2.86,3.59,2.52,,,,,,,,,,,,,,,,,,,,
D1,04/11/2018,M'gladbach,Fortuna Dusseldorf,3,0,21,13,7,6,1.37,5.33,8.5,1.42,4.9,7.94,,,,,,,,,,,,,,,,,,,,
D1,09/11/2018,Hannover,Wolfsburg,2,1,10,19,4,9,3.02,3.47,2.46,3,3.52,2.45,,,,,,,,,,,,,,,,,,,,
D1,10/11/2018,Dortmund,Bayern Munich,3,2,11,9,5,3,3.38,3.87,2.12,3.86,4.33,1.88,,,,,,,,,,,,,,,,,,,,
D1,10/11/2018,Fortuna Dusseldorf,Hertha,4,1,20,11,9,5,3.47,3.53,2.2,3.27,3.7,2.23,,,,,,,,,,,,,,,,,,,,
D1,10/11/2018,Freiburg,Mainz,1,3,15,12,4,9,2.12,3.44,3.82,2.31,3.4,3.35,,,,,,,,,,,,,,,,,,,,
D1,10/11/2018,Hoffenheim,Augsburg,2,1,18,22,7,7,1.67,4.42,4.93,1.56,4.83,5.44,,,,,,,,,,,,,,,,,,,,
D1,10/11/2018,Nurnberg,Stuttgart,0,2,10,13,3,4,2.48,3.4,3.05,2.49,3.47,2.99,,,,,,,,,,,,,,,,,,,,
D1,10/11/2018,Werder Bremen,M'gladbach,1,3,20,16,5,6,2.39,3.77,2.93,2.43,3.74,2.89,,,,,,,,,,,,,,,,,,,,
D1,11/11/2018,Ein Frankfurt,Schalke 04,3,0,14,5,4,1,2.27,3.45,3.4,2.51,3.36,3.04,,,,,,,,,,,,,,,,,,,,
D1,11/11/2018,RB Leipzig,Leverkusen,3,0,14,7,7,2,1.83,4.2,4.09,1.9,3.97,4.01,,,,,,,,,,,,,,,,,,,,
D1,23/11/2018,Leverkusen,Stuttgart,2,0,17,10,4,2,1.51,4.65,6.44,1.53,4.69,6.03,,,,,,,,,,,,,,,,,,,,
D1,24/11/2018,Augsburg,Ein Frankfurt,1,3,25,15,10,7,2.74,3.71,2.56,2.87,3.54,2.54,,,,,,,,,,,,,,,,,,,,
D1,24/11/2018,Bayern Munich,Fortuna Dusseldorf,3,3,17,9,5,5,1.1,12.83,22.69,1.09,13.32,23.84,,,,,,,,,,,,,,,,,,,,
D1,24/11/2018,Hertha,Hoffenheim,3,3,23,13,8,6,3.42,3.86,2.1,3.47,3.95,2.06,,,,,,,,,,,,,,,,,,,,
D1,24/11/2018,Mainz,Dortmund,1,2,15,11,7,7,5.64,4.29,1.61,5.27,4.36,1.64,,,,,,,,,,,,,,,,,,,,
D1,24/11/2018,Schalke 04,Nurnberg,5,2,20,12,10,6,1.52,4.09,7.83,1.52,4,8.06,,,,,,,,,,,,,,,,,,,,
D1,24/11/2018,Wolfsburg,RB Leipzig,1,0,5,10,3,4,3.62,3.68,2.09,3.2,3.46,2.36,,,,,,,,,,,,,,,,,,,,
D1,25/11/2018,Freiburg,Werder Bremen,1,1,23,19,9,8,2.81,3.48,2.62,2.73,3.4,2.75,,,,,,,,,,,,,,,,,,,,
D1,25/11/2018,M'gladbach,Hannover,4,1,20,5,6,3,1.46,4.93,6.95,1.42,5.14,7.58,,,,,,,,,,,,,,,,,,,,
D1,30/11/2018,Fortuna Dusseldorf,Mainz,0,1,20,15,7,3,2.76,3.51,2.65,2.63,3.53,2.77,,,,,,,,,,,,,,,,,,,,
D1,01/12/2018,Dortmund,Freiburg,2,0,11,5,4,1,1.31,5.64,10.51,1.32,5.8,9.8,,,,,,,,,,,,,,,,,,,,
D1,01/12/2018,Hannover,Hertha,0,2,10,14,2,8,2.71,3.53,2.68,2.65,3.55,2.73,,,,,,,,,,,,,,,,,,,,
D1,01/12/2018,Hoffenheim,Schalke 04,1,1,20,13,7,5,1.81,4.13,4.3,1.88,3.85,4.21,,,,,,,,,,,,,,,,,,,,
D1,01/12/2018,Stuttgart,Augsburg,1,0,13,17,3,4,2.69,3.49,2.73,2.76,3.4,2.71,,,,,,,,,,,,,,,,,,,,
D1,01/12/2018,Werder Bremen,Bayern Munich,1,2,9,16,3,5,7.53,5.06,1.42,7.83,5.73,1.37,,,,,,,,,,,,,,,,,,,,
D1,02/12/2018,Ein Frankfurt,Wolfsburg,1,2,13,10,2,3,1.87,3.7,4.51,2.03,3.62,3.89,,,,,,,,,,,,,,,,,,,,
D1,02/12/2018,RB Leipzig,M'gladbach,2,0,14,7,6,4,1.9,4.07,3.91,1.75,4.29,4.45,,,,,,,,,,,,,,,,,,,,
D1,03/12/2018,Nurnberg,Leverkusen,1,1,11,20,4,6,4.46,4.02,1.8,5,4.06,1.72,,,,,,,,,,,,,,,,,,,,
D1,07/12/2018,Werder Bremen,Fortuna Dusseldorf,3,1,22,12,9,3,1.75,3.91,5.01,1.86,3.74,4.49,,,,,,,,,,,,,,,,,,,,
D1,08/12/2018,Bayern Munich,Nurnberg,3,0,20,4,8,1,1.09,11.83,32.32,1.09,12.59,32.84,,,,,,,,,,,,,,,,,,,,
D1,08/12/2018,Freiburg,RB Leipzig,3,0,12,15,9,4,4.07,3.89,1.91,4.55,3.99,1.79,,,,,,,,,,,,,,,,,,,,
D1,08/12/2018,Hertha,Ein Frankfurt,1,0,7,18,4,4,2.65,3.54,2.74,2.66,3.63,2.68,,,,,,,,,,,,,,,,,,,,
D1,08/12/2018,Leverkusen,Augsburg,1,0,21,13,7,1,1.71,4.3,4.72,1.76,4.01,4.73,,,,,,,,,,,,,,,,,,,,
D1,08/12/2018,Schalke 04,Dortmund,1,2,6,10,3,3,3.42,3.49,2.24,3.26,3.6,2.27,,,,,,,,,,,,,,,,,,,,
D1,08/12/2018,Wolfsburg,Hoffenheim,2,2,10,19,3,6,3.04,3.81,2.31,3.09,3.85,2.26,,,,,,,,,,,,,,,,,,,,
D1,09/12/2018,Mainz,Hannover,1,1,28,11,5,3,1.99,3.51,4.16,1.92,3.63,4.35,,,,,,,,,,,,,,,,,,,,
D1,09/12/2018,M'gladbach,Stuttgart,3,0,23,7,7,2,1.51,4.42,6.96,1.6,4.39,5.62,,,,,,,,,,,,,,,,,,,,
D1,14/12/2018,Nurnberg,Wolfsburg,0,2,11,10,0,4,3.76,3.51,2.1,3.72,3.53,2.11,,,,,,,,,,,,,,,,,,,,
D1,15/12/2018,Augsburg,Schalke 04,1,1,17,15,9,5,2.57,3.41,2.92,2.69,3.42,2.77,,,,,,,,,,,,,,,,,,,,
D1,15/12/2018,Dortmund,Werder Bremen,2,1,16,9,9,5,1.39,5.42,7.85,1.38,5.34,8.37,,,,,,,,,,,,,,,,,,,,
D1,15/12/2018,Fortuna Dusseldorf,Freiburg,2,0,20,6,8,2,2.84,3.39,2.65,2.64,3.41,2.83,,,,,,,,,,,,,,,,,,,,
D1,15/12/2018,Hannover,Bayern Munich,0,4,3,32,0,14,11.28,6.59,1.26,12.32,7.26,1.23,,,,,,,,,,,,,,,,,,,,
D1,15/12/2018,Hoffenheim,M'gladbach,0,0,27,5,6,1,1.96,4.31,3.51,1.79,4.57,3.98,,,,,,,,,,,,,,,,,,,,
D1,15/12/2018,Stuttgart,Hertha,2,1,9,15,4,3,2.83,3.46,2.62,2.58,3.44,2.88,,,,,,,,,,,,,,,,,,,,
D1,16/12/2018,Ein Frankfurt,Leverkusen,2,1,17,12,7,6,2.38,3.71,2.99,2.51,3.87,2.72,,,,,,,,,,,,,,,,,,,,
D1,16/12/2018,RB Leipzig,Mainz,4,1,17,11,7,5,1.44,4.83,7.53,1.5,4.48,7.2,,,,,,,,,,,,,,,,,,,,
D1,18/12/2018,Fortuna Dusseldorf,Dortmund,2,1,8,11,3,3,7.12,4.63,1.48,6.06,4.58,1.55,,,,,,,,,,,,,,,,,,,,
D1,18/12/2018,Hertha,Augsburg,2,2,17,8,7,2,2.31,3.46,3.3,2.28,3.46,3.35,,,,,,,,,,,,,,,,,,,,
D1,18/12/2018,M'gladbach,Nurnberg,2,0,17,7,7,2,1.39,5.16,8.49,1.38,5.12,8.65,,,,,,,,,,,,,,,,,,,,
D1,18/12/2018,Wolfsburg,Stuttgart,2,0,16,11,5,1,1.72,3.74,5.55,1.63,3.95,6.11,,,,,,,,,,,,,,,,,,,,
D1,19/12/2018,Bayern Munich,RB Leipzig,1,0,10,8,4,2,1.38,5.36,8.21,1.3,5.84,10.45,,,,,,,,,,,,,,,,,,,,
D1,19/12/2018,Freiburg,Hannover,1,1,14,18,7,3,1.93,3.83,4.03,1.81,3.93,4.55,,,,,,,,,,,,,,,,,,,,
D1,19/12/2018,Mainz,Ein Frankfurt,2,2,17,12,6,4,3.3,3.62,2.24,3.34,3.67,2.2,,,,,,,,,,,,,,,,,,,,
D1,19/12/2018,Schalke 04,Leverkusen,1,2,18,8,4,5,2.56,3.45,2.91,2.54,3.41,2.95,,,,,,,,,,,,,,,,,,,,
