Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,PSH,PSD,PSA,PSCH,PSCD,PSCA,AvgH,AvgD,AvgA,AvgCH,AvgCD,AvgCA,P>2.5,P<2.5,PC>2.5,PC<2.5,Avg>2.5,Avg<2.5,AvgC>2.5,AvgC<2.5,AHh,AHCh,PAHH,PAHA,PCAHH,PCAHA
F1,04/08/17,Monaco,Toulouse,3,2,17,6,7,3,1.32,5.72,11.12,1.29,5.9,12.75,,,,,,,,,,,,,,,,,,,,
F1,05/08/17,Lyon,Strasbourg,4,0,12,7,7,1,1.4,5.19,8.99,1.34,5.55,10.35,,,,,,,,,,,,,,,,,,,,
F1,05/08/17,Metz,Guingamp,1,3,6,13,4,5,2.95,3.2,2.71,3.01,3.35,2.54,,,,,,,,,,,,,,,,,,,,
F1,05/08/17,Montpellier,Caen,1,0,10,8,2,1,1.88,3.54,4.74,1.83,3.69,4.92,,,,,,,,,,,,,,,,,,,,
F1,05/08/17,Paris SG,Amiens,2,0,16,7,5,1,1.13,10.7,26,1.09,13,36.5,,,,,,,,,,,,,,,,,,,,
F1,05/08/17,St Etienne,Nice,1,0,8,6,3,2,2.28,3.17,3.69,2.46,3.23,3.29,,,,,,,,,,,,,,,,,,,,
F1,05/08/17,Troyes,Rennes,1,1,11,16,4,4,2.8,3.16,2.9,3.08,3.16,2.6,,,,,,,,,,,,,,,,,,,,
F1,06/08/17,Angers,Bordeaux,2,2,9,7,5,4,2.63,3.06,3.14,2.5,3.14,3.31,,,,,,,,,,,,,,,,,,,,
F1,06/08/17,Lille,Nantes,3,0,14,9,5,4,2.09,3.29,4.2,2.15,3.27,4.01,,,,,,,,,,,,,,,,,,,,
F1,06/08/17,Marseille,Dijon,3,0,18,12,5,1,1.4,5.19,8.88,1.31,5.8,11.5,,,,,,,,,,,,,,,,,,,,
F1,11/08/17,Nice,Troyes,1,2,20,10,6,4,1.53,4.5,6.95,1.52,4.51,7.06,,,,,,,,,,,,,,,,,,,,
F1,11/08/17,Rennes,Lyon,1,2,17,17,5,8,3.69,3.68,2.09,3.64,3.63,2.12,,,,,,,,,,,,,,,,,,,,
