Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,PSH,PSD,PSA,PSCH,PSCD,PSCA,AvgH,AvgD,AvgA,AvgCH,AvgCD,AvgCA,P>2.5,P<2.5,PC>2.5,PC<2.5,Avg>2.5,Avg<2.5,AvgC>2.5,AvgC<2.5,AHh,AHCh,PAHH,PAHA,PCAHH,PCAHA
SP1,18/08/17,Leganes,Alaves,1,0,16,6,9,3,2.03,3.25,4.52,1.98,3.35,4.63,,,,,,,,,,,,,,,,,,,,
SP1,18/08/17,Valencia,Las Palmas,1,0,22,5,6,4,1.78,4.01,4.83,1.78,4.24,4.43,,,,,,,,,,,,,,,,,,,,
SP1,19/08/17,Celta,Sociedad,2,3,16,13,5,6,2.44,3.4,3.16,2.12,3.53,3.74,,,,,,,,,,,,,,,,,,,,
SP1,19/08/17,Girona,Ath Madrid,2,2,13,9,6,3,8.36,4.38,1.49,6.93,3.83,1.63,,,,,,,,,,,,,,,,,,,,
SP1,19/08/17,Sevilla,Espanol,1,1,9,9,4,6,1.62,4.17,6.18,1.64,4.18,5.82,,,,,,,,,,,,,,,,,,,,
SP1,20/08/17,Ath Bilbao,Getafe,0,0,12,8,2,2,1.53,4.37,7.31,1.53,4.48,6.91,,,,,,,,,,,,,,,,,,,,
SP1,20/08/17,Barcelona,Betis,2,0,15,3,2,0,1.22,7.35,15.5,1.2,8.25,15.2,,,,,,,,,,,,,,,,,,,,
SP1,20/08/17,La Coruna,Real Madrid,0,3,12,16,6,8,10.26,5.79,1.33,12.4,7,1.26,,,,,,,,,,,,,,,,,,,,
SP1,21/08/17,Levante,Villarreal,1,0,14,9,3,1,3.36,3.24,2.36,3.31,3.32,2.4,,,,,,,,,,,,,,,,,,,,
SP1,21/08/17,Malaga,Eibar,0,1,10,13,4,6,2.24,3.36,3.49,2.2,3.27,3.85,,,,,,,,,,,,,,,,,,,,
SP1,25/08/17,Betis,Celta,2,1,10,9,3,2,2.28,3.56,3.32,2.32,3.44,3.35,,,,,,,,,,,,,,,,,,,,
SP1,25/08/17,Sociedad,Villarreal,3,0,15,6,9,1,2.11,3.46,3.87,2.04,3.59,3.98,,,,,,,,,,,,,,,,,,,,
SP1,26/08/17,Alaves,Barcelona,0,2,11,23,2,11,10.55,5.8,1.33,10.13,5.83,1.33,,,,,,,,,,,,,,,,,,,,
SP1,26/08/17,Girona,Malaga,1,0,15,7,4,2,2.19,3.37,3.75,2.01,3.42,4.33,,,,,,,,,,,,,,,,,,,,
SP1,26/08/17,Las Palmas,Ath Madrid,1,5,10,8,4,6,5.14,3.73,1.79,5.31,3.75,1.77,,,,,,,,,,,,,,,,,,,,
SP1,26/08/17,Levante,La Coruna,2,2,24,11,5,4,2.23,3.31,3.71,2.19,3.4,3.71,,,,,,,,,,,,,,,,,,,,
SP1,27/08/17,Eibar,Ath Bilbao,0,1,14,10,5,4,2.57,3.26,3.08,2.52,3.21,3.2,,,,,,,,,,,,,,,,,,,,
SP1,27/08/17,Espanol,Leganes,0,1,17,12,2,8,2,3.37,4.49,2.05,3.24,4.47,,,,,,,,,,,,,,,,,,,,
SP1,27/08/17,Getafe,Sevilla,0,1,15,6,3,3,3.61,3.58,2.16,3.58,3.5,2.2,,,,,,,,,,,,,,,,,,,,
SP1,27/08/17,Real Madrid,Valencia,2,2,22,7,6,3,1.16,10,17,1.15,10.55,17.7,,,,,,,,,,,,,,,,,,,,
SP1,08/09/17,Leganes,Getafe,1,2,11,11,7,3,2.11,3.28,4.15,2.13,3.22,4.17,,,,,,,,,,,,,,,,,,,,
SP1,09/09/17,Barcelona,Espanol,5,0,20,9,9,1,1.18,8.79,17.82,1.13,10.4,23.13,,,,,,,,,,,,,,,,,,,,
SP1,09/09/17,Real Madrid,Levante,1,1,18,5,10,2,1.08,15,36.5,1.11,12.6,23.75,,,,,,,,,,,,,,,,,,,,
SP1,09/09/17,Sevilla,Eibar,3,0,12,7,6,2,1.61,4.27,6.08,1.57,4.46,6.28,,,,,,,,,,,,,,,,,,,,
SP1,09/09/17,Valencia,Ath Madrid,0,0,11,13,0,4,3.56,3.38,2.26,3.21,3.23,2.5,,,,,,,,,,,,,,,,,,,,
SP1,10/09/17,Ath Bilbao,Girona,2,0,7,11,4,7,1.68,3.99,5.63,1.61,4.04,6.67,,,,,,,,,,,,,,,,,,,,
