Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,PSH,PSD,PSA,PSCH,PSCD,PSCA,AvgH,AvgD,AvgA,AvgCH,AvgCD,AvgCA,P>2.5,P<2.5,PC>2.5,PC<2.5,Avg>2.5,Avg<2.5,AvgC>2.5,AvgC<2.5,AHh,AHCh,PAHH,PAHA,PCAHH,PCAHA
SP1,17/08/2018,Betis,Levante,0,3,22,6,8,4,1.69,4.19,5.11,1.59,4.42,5.89,,,,,,,,,,,,,,,,,,,,
SP1,17/08/2018,Girona,Valladolid,0,0,13,2,1,1,1.8,3.7,4.99,1.76,3.57,5.62,,,,,,,,,,,,,,,,,,,,
SP1,18/08/2018,Barcelona,Alaves,3,0,25,3,9,0,1.11,11.27,25.4,1.1,11.85,32.17,,,,,,,,,,,,,,,,,,,,
SP1,18/08/2018,Celta,Espanol,1,1,12,14,2,5,1.93,3.64,4.27,2.18,3.26,3.85,,,,,,,,,,,,,,,,,,,,
SP1,18/08/2018,Villarreal,Sociedad,1,2,16,8,7,4,2.06,3.51,3.91,2.32,3.21,3.53,,,,,,,,,,,,,,,,,,,,
SP1,19/08/2018,Eibar,Huesca,1,2,18,8,6,6,1.72,3.9,5.26,1.77,3.68,5.32,,,,,,,,,,,,,,,,,,,,
SP1,19/08/2018,Real Madrid,Getafe,2,0,10,4,3,1,1.2,7.36,17.47,1.19,7.77,17.96,,,,,,,,,,,,,,,,,,,,
SP1,19/08/2018,Vallecano,Sevilla,1,4,13,17,2,8,3.46,3.74,2.13,4.57,4.07,1.78,,,,,,,,,,,,,,,,,,,,
SP1,20/08/2018,Ath Bilbao,Leganes,2,1,17,12,5,2,1.79,3.54,5.46,1.69,3.77,5.87,,,,,,,,,,,,,,,,,,,,
SP1,20/08/2018,Valencia,Ath Madrid,1,1,13,9,4,3,3.12,3.18,2.57,3.55,3.28,2.28,,,,,,,,,,,,,,,,,,,,
SP1,24/08/2018,Getafe,Eibar,2,0,7,9,4,0,2.01,3.35,4.43,2.24,3.07,3.94,,,,,,,,,,,,,,,,,,,,
SP1,24/08/2018,Leganes,Sociedad,2,2,18,7,5,6,3.66,3.36,2.2,3.56,3.21,2.31,,,,,,,,,,,,,,,,,,,,
SP1,25/08/2018,Alaves,Betis,0,0,16,13,4,5,2.87,3.36,2.63,3.05,3.36,2.5,,,,,,,,,,,,,,,,,,,,
SP1,25/08/2018,Ath Madrid,Vallecano,1,0,9,13,2,3,1.16,8.09,24.21,1.17,7.82,22.59,,,,,,,,,,,,,,,,,,,,
SP1,25/08/2018,Valladolid,Barcelona,0,1,7,10,4,5,19.07,8.18,1.18,18.04,7.67,1.19,,,,,,,,,,,,,,,,,,,,
SP1,26/08/2018,Espanol,Valencia,2,0,19,16,9,4,3.19,3.48,2.35,2.9,3.34,2.62,,,,,,,,,,,,,,,,,,,,
SP1,26/08/2018,Girona,Real Madrid,1,4,10,20,5,8,8.99,5.42,1.37,10.01,5.54,1.34,,,,,,,,,,,,,,,,,,,,
SP1,26/08/2018,Sevilla,Villarreal,0,0,19,14,2,6,1.79,3.98,4.7,2.05,3.6,3.86,,,,,,,,,,,,,,,,,,,,
SP1,27/08/2018,Ath Bilbao,Huesca,2,2,14,9,4,4,1.64,3.8,6.45,1.6,3.89,6.88,,,,,,,,,,,,,,,,,,,,
SP1,27/08/2018,Levante,Celta,1,2,15,21,6,9,2.52,3.31,3.08,2.28,3.63,3.21,,,,,,,,,,,,,,,,,,,,
SP1,31/08/2018,Eibar,Sociedad,2,1,8,7,2,2,2.8,3.31,2.73,3.11,3.23,2.53,,,,,,,,,,,,,,,,,,,,
SP1,31/08/2018,Getafe,Valladolid,0,0,12,7,3,4,1.93,3.18,5.22,2.08,3.07,4.55,,,,,,,,,,,,,,,,,,,,
SP1,31/08/2018,Villarreal,Girona,0,1,13,14,3,6,1.57,4.17,6.67,1.52,4.54,6.81,,,,,,,,,,,,,,,,,,,,
SP1,01/09/2018,Celta,Ath Madrid,2,0,10,9,4,0,4.93,3.66,1.81,5.17,3.69,1.78,,,,,,,,,,,,,,,,,,,,
SP1,01/09/2018,Real Madrid,Leganes,4,1,17,8,8,3,1.13,9.73,25.14,1.16,8.67,22.29,,,,,,,,,,,,,,,,,,,,
SP1,02/09/2018,Alaves,Espanol,2,1,8,11,5,7,2.93,3.16,2.71,3.19,3.25,2.47,,,,,,,,,,,,,,,,,,,,
SP1,02/09/2018,Barcelona,Huesca,8,2,31,7,15,3,1.09,13.22,30.82,1.07,14.91,36.03,,,,,,,,,,,,,,,,,,,,
SP1,02/09/2018,Betis,Sevilla,1,0,11,8,3,2,2.77,3.87,2.46,2.84,3.6,2.53,,,,,,,,,,,,,,,,,,,,
SP1,02/09/2018,Levante,Valencia,2,2,13,18,4,5,3.61,3.59,2.13,3.6,3.54,2.15,,,,,,,,,,,,,,,,,,,,
SP1,14/09/2018,Huesca,Vallecano,0,1,14,14,4,2,2.26,3.57,3.3,2.43,3.41,3.13,,,,,,,,,,,,,,,,,,,,
SP1,15/09/2018,Ath Bilbao,Real Madrid,1,1,11,16,3,6,5.46,4.7,1.58,6.5,4.43,1.53,,,,,,,,,,,,,,,,,,,,
SP1,15/09/2018,Ath Madrid,Eibar,1,1,18,12,9,3,1.36,4.78,11.13,1.42,4,12.96,,,,,,,,,,,,,,,,,,,,
SP1,15/09/2018,Sociedad,Barcelona,1,2,8,12,5,6,7.05,5.46,1.41,8.62,5.22,1.38,,,,,,,,,,,,,,,,,,,,
SP1,15/09/2018,Valencia,Betis,0,0,12,11,2,6,1.75,4.06,4.72,1.7,4.22,4.95,,,,,,,,,,,,,,,,,,,,
SP1,16/09/2018,Espanol,Levante,1,0,22,16,9,4,1.79,3.8,4.86,1.66,4.15,5.39,,,,,,,,,,,,,,,,,,,,
SP1,16/09/2018,Leganes,Villarreal,0,1,16,9,3,3,3.08,3.19,2.59,2.99,3.28,2.59,,,,,,,,,,,,,,,,,,,,
SP1,16/09/2018,Sevilla,Getafe,0,2,15,10,1,5,1.56,4.18,6.65,1.65,3.91,6.04,,,,,,,,,,,,,,,,,,,,
SP1,16/09/2018,Valladolid,Alaves,0,1,15,10,5,4,2.25,3.13,3.83,2.19,3.15,3.97,,,,,,,,,,,,,,,,,,,,
SP1,17/09/2018,Girona,Celta,3,2,11,20,6,7,2.42,3.53,3.02,2.28,3.62,3.18,,,,,,,,,,,,,,,,,,,,
SP1,21/09/2018,Huesca,Sociedad,0,1,13,7,3,1,3.75,3.53,2.1,3.49,3.4,2.25,,,,,,,,,,,,,,,,,,,,
