Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,PSH,PSD,PSA,PSCH,PSCD,PSCA,AvgH,AvgD,AvgA,AvgCH,AvgCD,AvgCA,P>2.5,P<2.5,PC>2.5,PC<2.5,Avg>2.5,Avg<2.5,AvgC>2.5,AvgC<2.5,AHh,AHCh,PAHH,PAHA,PCAHH,PCAHA
D1,28/08/2026,Bayern Munich,Stuttgart,5,1,21,11,9,4,,,,,,,1.2,7.38,10.37,1.21,7.37,9.88,,,,,1.17,4.78,1.15,5.03,-2,-2,,,,
D1,29/08/2026,Elversberg,Leverkusen,3,2,11,21,6,4,,,,,,,4.9,4.41,1.57,5.02,4.35,1.58,,,,,1.45,2.65,1.46,2.64,1,1,,,,
D1,29/08/2026,FC Koln,Hoffenheim,3,2,18,15,6,4,,,,,,,2.83,3.69,2.25,3.08,3.67,2.14,,,,,1.53,2.41,1.55,2.4,0.25,0.25,,,,
D1,29/08/2026,Mainz,Paderborn,0,0,21,10,4,0,,,,,,,1.66,3.98,4.71,1.51,4.49,5.65,,,,,1.62,2.22,1.45,2.66,-0.75,-1,,,,
D1,29/08/2026,RB Leipzig,M'gladbach,3,0,25,15,11,4,,,,,,,1.54,4.45,5.19,1.54,4.48,5.08,,,,,1.45,2.64,1.43,2.74,-1,-1,,,,
D1,29/08/2026,Union Berlin,Ein Frankfurt,3,3,19,12,10,3,,,,,,,2.55,3.57,2.52,2.61,3.65,2.48,,,,,1.6,2.26,1.54,2.41,0,0,,,,
D1,29/08/2026,Dortmund,Hamburg,2,0,20,8,6,3,,,,,,,1.31,5.4,8.58,1.32,5.49,7.99,,,,,1.47,2.6,1.42,2.76,-1.5,-1.5,,,,
D1,30/08/2026,Freiburg,Werder Bremen,4,1,19,9,5,3,,,,,,,1.94,3.59,3.66,1.77,3.8,4.28,,,,,1.73,2.03,1.64,2.2,-0.5,-0.5,,,,
D1,30/08/2026,Augsburg,Schalke 04,3,0,24,11,13,5,,,,,,,2.13,3.59,3.09,2.27,3.5,2.97,,,,,1.66,2.13,1.67,2.14,-0.25,-0.25,,,,
D1,04/09/2026,Stuttgart,FC Koln,4,1,22,18,8,5,,,,,,,1.46,4.98,5.61,1.44,5.09,5.94,,,,,1.35,3.11,1.31,3.34,-1.25,-1.25,,,,
D1,05/09/2026,Hoffenheim,Dortmund,2,3,18,11,6,4,,,,,,,2.84,3.8,2.2,2.43,3.81,2.59,,,,,1.43,2.72,1.41,2.79,0.25,0,,,,
D1,05/09/2026,Leverkusen,Union Berlin,4,0,21,5,10,0,,,,,,,1.43,4.8,6.16,1.34,5.43,7.38,,,,,1.41,2.8,1.38,2.97,-1.25,-1.5,,,,
D1,05/09/2026,M'gladbach,Elversberg,3,4,25,14,6,10,,,,,,,1.86,3.78,3.76,1.89,3.93,3.57,,,,,1.56,2.35,1.44,2.69,-0.5,-0.5,,,,
D1,05/09/2026,Paderborn,Freiburg,0,1,14,16,3,5,,,,,,,3.41,3.65,1.99,3.58,3.8,1.92,,,,,1.64,2.19,1.56,2.35,0.5,0.5,,,,
D1,05/09/2026,Werder Bremen,RB Leipzig,3,1,12,19,7,5,,,,,,,4.04,4.03,1.75,3.75,4.08,1.82,,,,,1.46,2.63,1.39,2.86,0.75,0.5,,,,
D1,05/09/2026,Schalke 04,Bayern Munich,0,0,4,15,1,5,,,,,,,13.58,8.32,1.15,11.53,7.37,1.19,,,,,1.22,4.12,1.24,3.9,2.25,2,,,,
D1,06/09/2026,Hamburg,Mainz,0,5,8,17,1,8,,,,,,,2.76,3.51,2.37,2.83,3.46,2.38,,,,,1.67,2.12,1.72,2.06,0.25,0.25,,,,
D1,06/09/2026,Ein Frankfurt,Augsburg,1,4,22,17,8,7,,,,,,,1.91,3.97,3.42,1.83,4.09,3.69,,,,,1.43,2.68,1.36,3.02,-0.5,-0.5,,,,
D1,11/09/2026,Union Berlin,Schalke 04,1,3,20,19,8,10,,,,,,,2.34,3.52,2.79,2.31,3.4,2.98,,,,,1.62,2.23,1.72,2.06,-0.25,-0.25,,,,
D1,12/09/2026,Augsburg,Leverkusen,2,2,8,30,5,5,,,,,,,3.9,4.08,1.76,3.59,4.02,1.87,,,,,1.4,2.85,1.36,3.04,0.5,0.5,,,,
D1,12/09/2026,Dortmund,Paderborn,3,0,14,10,8,0,,,,,,,1.23,6.42,10.04,1.25,6.33,9.46,,,,,1.34,3.15,1.32,3.28,-1.75,-1.75,,,,
D1,12/09/2026,Freiburg,M'gladbach,5,0,19,5,9,0,,,,,,,1.68,4.02,4.41,1.68,4.18,4.4,,,,,1.53,2.42,1.44,2.71,-0.75,-0.75,,,,
D1,12/09/2026,Hoffenheim,Stuttgart,2,1,20,16,8,5,,,,,,,2.3,3.94,2.63,2.18,3.97,2.84,,,,,1.33,3.17,1.32,3.3,0,-0.25,,,,
D1,12/09/2026,Mainz,Ein Frankfurt,1,3,18,11,5,5,,,,,,,1.97,3.85,3.32,1.74,4.04,4.07,,,,,1.48,2.58,1.47,2.62,-0.5,-0.5,,,,
D1,12/09/2026,FC Koln,Werder Bremen,1,1,15,14,6,5,,,,,,,2.07,3.73,3.18,2.05,3.77,3.2,,,,,1.53,2.4,1.49,2.55,-0.5,-0.5,,,,
D1,13/09/2026,RB Leipzig,Hamburg,5,0,19,10,6,4,,,,,,,1.34,5.24,7.53,1.38,5.38,6.69,,,,,1.39,2.85,1.32,3.23,-1.5,-1.5,,,,
D1,13/09/2026,Elversberg,Bayern Munich,1,2,5,28,1,6,,,,,,,12.77,8.35,1.15,11.75,8.33,1.17,,,,,1.16,4.89,1.15,5.08,2.5,2.5,,,,
D1,18/09/2026,Bayern Munich,Union Berlin,7,0,23,3,15,2,,,,,,,1.04,16.58,32.77,1.03,18,40.23,,,,,1.09,7.19,1.08,7.38,-3.5,-3.75,,,,
D1,19/09/2026,Ein Frankfurt,Freiburg,2,2,10,22,3,7,,,,,,,2.36,3.79,2.62,2.48,3.74,2.55,,,,,1.42,2.74,1.47,2.6,0,0,,,,
